ts,version,battery_percent,mode,mode_name,heart_bpm,flags,fall,high_stress,obstacle_near,obstacle_imminent,imu_ax_ms2,imu_ay_ms2,imu_az_ms2,ultra_left_mm,ultra_right_mm,matrix_head_mm,matrix_waist_mm,matrix_head_valid,matrix_waist_valid,elapsed_s,heart_abnormal
2026-05-01 12:00:15.000,2,94,0,NORMAL,91,4,False,False,True,False,0.22,-6.63,7.3,65535,65535,65535,273,False,True,15.0,False
2026-05-01 12:00:15.200,2,94,0,NORMAL,91,4,False,False,True,False,0.13,-6.87,7.39,65535,65535,65535,283,False,True,15.2,False
2026-05-01 12:00:15.400,2,94,0,NORMAL,92,4,False,False,True,False,0.17,-6.6,7.26,65535,65535,65535,292,False,True,15.4,False
2026-05-01 12:00:15.600,2,94,0,NORMAL,90,4,False,False,True,False,0.18,-6.55,7.24,65535,65535,65535,301,False,True,15.6,False
2026-05-01 12:00:15.800,2,94,0,NORMAL,90,4,False,False,True,False,0.23,-6.88,7.19,65535,65535,65535,311,False,True,15.8,False
2026-05-01 12:00:16.000,2,94,0,NORMAL,91,4,False,False,True,False,0.17,-6.76,7.32,65535,65535,65535,380,False,True,16.0,False
2026-05-01 12:00:16.200,2,94,0,NORMAL,91,4,False,False,True,False,0.17,-6.87,7.35,65535,65535,65535,399,False,True,16.2,False
2026-05-01 12:00:16.400,2,94,0,NORMAL,91,4,False,False,True,False,0.24,-6.83,7.47,65535,65535,65535,418,False,True,16.4,False
2026-05-01 12:00:16.600,2,94,0,NORMAL,92,4,False,False,True,False,0.25,-6.68,7.18,65535,65535,65535,437,False,True,16.6,False
2026-05-01 12:00:16.800,2,94,0,NORMAL,92,4,False,False,True,False,0.19,-6.53,7.26,65535,65535,65535,456,False,True,16.8,False
2026-05-01 12:00:17.000,2,94,0,NORMAL,92,4,False,False,True,False,0.2,-6.85,7.14,65535,65535,65535,475,False,True,17.0,False
2026-05-01 12:00:17.200,2,94,0,NORMAL,93,4,False,False,True,False,0.19,-6.67,7.33,65535,65535,65535,494,False,True,17.2,False
2026-05-01 12:00:17.400,2,94,0,NORMAL,91,0,False,False,False,False,0.16,-6.67,7.13,65535,65535,65535,513,False,True,17.4,False
2026-05-01 12:00:17.600,2,94,0,NORMAL,92,0,False,False,False,False,0.21,-6.72,7.15,65535,65535,65535,532,False,True,17.6,False
2026-05-01 12:00:17.800,2,94,0,NORMAL,91,0,False,False,False,False,0.14,-6.54,7.16,65535,65535,65535,551,False,True,17.8,False
2026-05-01 12:00:18.000,2,93,0,NORMAL,92,0,False,False,False,False,0.26,-6.88,7.27,65535,65535,65535,570,False,True,18.0,False
2026-05-01 12:00:18.200,2,93,0,NORMAL,91,0,False,False,False,False,0.15,-6.73,7.15,65535,65535,65535,589,False,True,18.2,False
2026-05-01 12:00:18.400,2,93,0,NORMAL,91,0,False,False,False,False,0.16,-6.85,7.27,65535,65535,65535,608,False,True,18.4,False
2026-05-01 12:00:18.600,2,93,0,NORMAL,91,0,False,False,False,False,0.15,-6.59,7.13,65535,65535,65535,627,False,True,18.6,False
2026-05-01 12:00:18.800,2,93,0,NORMAL,90,0,False,False,False,False,0.23,-6.78,7.18,65535,65535,65535,646,False,True,18.8,False
2026-05-01 12:00:19.000,2,93,0,NORMAL,92,0,False,False,False,False,0.22,-6.71,7.31,65535,65535,65535,665,False,True,19.0,False
2026-05-01 12:00:19.200,2,93,0,NORMAL,91,0,False,False,False,False,0.2,-6.6,7.2,65535,65535,65535,684,False,True,19.2,False
2026-05-01 12:00:19.400,2,93,0,NORMAL,90,0,False,False,False,False,0.26,-6.86,7.14,65535,65535,65535,703,False,True,19.4,False
2026-05-01 12:00:19.600,2,93,0,NORMAL,89,0,False,False,False,False,0.21,-6.53,7.35,65535,65535,65535,722,False,True,19.6,False
2026-05-01 12:00:19.800,2,93,0,NORMAL,89,0,False,False,False,False,0.13,-6.58,7.28,65535,65535,65535,741,False,True,19.8,False
2026-05-01 12:00:20.000,2,93,0,NORMAL,90,0,False,False,False,False,0.13,-6.73,7.34,65535,65535,65535,65535,False,False,20.0,False
2026-05-01 12:00:20.200,2,93,0,NORMAL,88,0,False,False,False,False,0.16,-6.61,7.44,65535,65535,65535,65535,False,False,20.2,False
2026-05-01 12:00:20.400,2,93,0,NORMAL,88,0,False,False,False,False,0.13,-6.87,7.33,65535,65535,65535,65535,False,False,20.4,False
2026-05-01 12:00:20.600,2,93,0,NORMAL,88,0,False,False,False,False,0.23,-6.81,7.18,65535,65535,65535,65535,False,False,20.6,False
2026-05-01 12:00:20.800,2,93,0,NORMAL,89,0,False,False,False,False,0.22,-6.7,7.47,65535,65535,65535,65535,False,False,20.8,False
2026-05-01 12:00:21.000,2,93,0,NORMAL,88,0,False,False,False,False,0.13,-6.72,7.39,65535,65535,65535,65535,False,False,21.0,False
2026-05-01 12:00:21.200,2,93,0,NORMAL,87,0,False,False,False,False,0.16,-6.76,7.33,65535,65535,65535,65535,False,False,21.2,False
2026-05-01 12:00:21.400,2,93,0,NORMAL,87,0,False,False,False,False,0.16,-6.55,7.39,65535,65535,65535,65535,False,False,21.4,False
2026-05-01 12:00:21.600,2,93,0,NORMAL,88,0,False,False,False,False,0.25,-6.88,7.25,65535,65535,65535,65535,False,False,21.6,False
2026-05-01 12:00:21.800,2,93,0,NORMAL,87,0,False,False,False,False,0.2,-6.69,7.32,65535,65535,65535,65535,False,False,21.8,False
2026-05-01 12:00:22.000,2,93,0,NORMAL,87,0,False,False,False,False,0.24,-6.83,7.18,65535,65535,65535,65535,False,False,22.0,False
2026-05-01 12:00:22.200,2,93,0,NORMAL,87,0,False,False,False,False,0.2,-6.59,7.12,65535,65535,65535,65535,False,False,22.2,False
2026-05-01 12:00:22.400,2,93,0,NORMAL,87,0,False,False,False,False,0.14,-6.83,7.28,65535,65535,65535,65535,False,False,22.4,False
2026-05-01 12:00:22.600,2,93,0,NORMAL,87,0,False,False,False,False,0.14,-6.86,7.35,65535,65535,65535,65535,False,False,22.6,False
2026-05-01 12:00:22.800,2,93,0,NORMAL,88,0,False,False,False,False,0.25,-6.79,7.42,65535,65535,65535,65535,False,False,22.8,False
2026-05-01 12:00:23.000,2,93,0,NORMAL,87,0,False,False,False,False,0.16,-6.56,7.28,65535,65535,65535,65535,False,False,23.0,False
2026-05-01 12:00:23.200,2,93,0,NORMAL,88,0,False,False,False,False,0.24,-6.62,7.14,65535,65535,65535,65535,False,False,23.2,False
2026-05-01 12:00:23.400,2,93,0,NORMAL,89,0,False,False,False,False,0.22,-6.68,7.47,65535,65535,65535,65535,False,False,23.4,False
2026-05-01 12:00:23.600,2,93,0,NORMAL,89,0,False,False,False,False,0.15,-6.69,7.37,65535,65535,65535,65535,False,False,23.6,False
2026-05-01 12:00:23.800,2,93,0,NORMAL,90,0,False,False,False,False,0.13,-6.63,7.43,65535,65535,65535,65535,False,False,23.8,False
2026-05-01 12:00:24.000,2,93,0,NORMAL,91,0,False,False,False,False,0.19,-6.82,7.45,65535,65535,65535,65535,False,False,24.0,False
